0,1,2,3,4,5,6,7
1,36,43,52,-1,42,54,41
2,36,69,29,12,25,17,40
3,34,63,-1,26,40,-1,49
4,36,61,25,18,31,18,-1
5,-1,77,-1,-1,-1,-1,-1
6,-1,61,44,-1,-1,25,53
7,18,71,-1,-15,39,40,-1
8,36,75,29,2,-1,-1,-1
9,-1,74,36,1,45,3,42
10,24,62,37,13,36,-1,-1
11,-1,58,-1,-1,-1,-1,-1
12,39,55,52,3,37,-1,45
13,-1,-1,31,21,42,22,41
14,35,54,31,12,35,-1,52
15,39,47,24,29,41,7,-1
16,22,52,25,24,35,0,61
17,33,65,36,26,31,-1,-1
18,34,55,-1,26,60,28,42
19,-1,-1,-1,-1,-1,-1,61
20,-1,45,54,-1,34,7,63
21,29,41,-1,-1,-1,21,45
22,42,-1,50,-1,41,20,47
23,-1,65,-1,-1,-1,22,33
24,18,-1,28,2,34,35,73
25,-1,60,31,25,-1,-1,47
26,38,58,38,-1,27,11,61
27,19,64,46,10,34,25,44
28,-1,-1,-1,28,-1,25,-1
29,46,77,35,31,38,0,39
30,43,68,51,12,44,-1,41
31,34,62,58,10,42,14,63
32,35,-1,33,15,39,37,51
33,45,56,34,19,47,25,50
34,-1,46,29,22,59,23,36
35,44,57,38,19,-1,18,48
36,45,-1,38,-1,51,15,36
37,-1,-1,30,21,35,12,37
38,23,61,-1,22,47,28,49
39,-1,47,32,24,31,-1,41
40,43,52,-1,22,28,22,51
41,37,58,32,11,38,34,-1
42,53,-1,52,20,53,33,-1
43,50,49,38,4,-1,11,65
44,-1,57,-1,25,57,16,51
45,46,69,53,20,28,-1,30
46,35,-1,44,-1,37,-1,55
47,25,50,39,26,37,17,46
48,34,78,37,-1,47,30,-1
49,42,84,33,30,54,-1,46
50,42,-1,26,14,39,10,53
